bp	annual_hunting_mortality
5200	0.050000
5199	0.050000
5198	0.050000
5197	0.050000
5196	0.050000
5195	0.050000
5194	0.050000
5193	0.050000
5192	0.050000
5191	0.050000
5190	0.050000
5189	0.050000
5188	0.050000
5187	0.050000
5186	0.050000
5185	0.050000
5184	0.050000
5183	0.050000
5182	0.050000
5181	0.050000
5180	0.050000
5179	0.050000
5178	0.050000
5177	0.050000
5176	0.050000
5175	0.050000
5174	0.050000
5173	0.050000
5172	0.050000
5171	0.050000
5170	0.050000
5169	0.050000
5168	0.050000
5167	0.050000
5166	0.050000
5165	0.050000
5164	0.050000
5163	0.050000
5162	0.050000
5161	0.050000
5160	0.050000
5159	0.050000
5158	0.050000
5157	0.050000
5156	0.050000
5155	0.050000
5154	0.050000
5153	0.050000
5152	0.050000
5151	0.050000
5150	0.050000
5149	0.050000
5148	0.050000
5147	0.050000
5146	0.050000
5145	0.050000
5144	0.050000
5143	0.050000
5142	0.050000
5141	0.050000
5140	0.050000
5139	0.050000
5138	0.050000
5137	0.050000
5136	0.050000
5135	0.050000
5134	0.050000
5133	0.050000
5132	0.050000
5131	0.050000
5130	0.050000
5129	0.050000
5128	0.050000
5127	0.050000
5126	0.050000
5125	0.050000
5124	0.050000
5123	0.050000
5122	0.050000
5121	0.050000
5120	0.050000
5119	0.050000
5118	0.050000
5117	0.050000
5116	0.050000
5115	0.050000
5114	0.050000
5113	0.050000
5112	0.050000
5111	0.050000
5110	0.050000
5109	0.050000
5108	0.050000
5107	0.050000
5106	0.050000
5105	0.050000
5104	0.050000
5103	0.050000
5102	0.050000
5101	0.050000
5100	0.050000
5099	0.050000
5098	0.050000
5097	0.050000
5096	0.050000
5095	0.050000
5094	0.050000
5093	0.050000
5092	0.050000
5091	0.050000
5090	0.050000
5089	0.050000
5088	0.050000
5087	0.050000
5086	0.050000
5085	0.050000
5084	0.050000
5083	0.050000
5082	0.050000
5081	0.050000
5080	0.050000
5079	0.050000
5078	0.050000
5077	0.050000
5076	0.050000
5075	0.050000
5074	0.050000
5073	0.050000
5072	0.050000
5071	0.050000
5070	0.050000
5069	0.050000
5068	0.050000
5067	0.050000
5066	0.050000
5065	0.050000
5064	0.050000
5063	0.050000
5062	0.050000
5061	0.050000
5060	0.050000
5059	0.050000
5058	0.050000
5057	0.050000
5056	0.050000
5055	0.050000
5054	0.050000
5053	0.050000
5052	0.050000
5051	0.050000
5050	0.050000
5049	0.050000
5048	0.050000
5047	0.050000
5046	0.050000
5045	0.050000
5044	0.050000
5043	0.050000
5042	0.050000
5041	0.050000
5040	0.050000
5039	0.050000
5038	0.050000
5037	0.050000
5036	0.050000
5035	0.050000
5034	0.050000
5033	0.050000
5032	0.050000
5031	0.050000
5030	0.050000
5029	0.050000
5028	0.050000
5027	0.050000
5026	0.050000
5025	0.050000
5024	0.050000
5023	0.050000
5022	0.050000
5021	0.050000
5020	0.050000
5019	0.050000
5018	0.050000
5017	0.050000
5016	0.050000
5015	0.050000
5014	0.050000
5013	0.050000
5012	0.050000
5011	0.050000
5010	0.050000
5009	0.050000
5008	0.050000
5007	0.050000
5006	0.050000
5005	0.050000
5004	0.050000
5003	0.050000
5002	0.050000
5001	0.050000
5000	0.050000
4999	0.050000
4998	0.050000
4997	0.050000
4996	0.050000
4995	0.050000
4994	0.050000
4993	0.050000
4992	0.050000
4991	0.050000
4990	0.050000
4989	0.050000
4988	0.050000
4987	0.050000
4986	0.050000
4985	0.050000
4984	0.050000
4983	0.050000
4982	0.050000
4981	0.050000
4980	0.050000
4979	0.050000
4978	0.050000
4977	0.050000
4976	0.050000
4975	0.050000
4974	0.050000
4973	0.050000
4972	0.050000
4971	0.050000
4970	0.050000
4969	0.050000
4968	0.050000
4967	0.050000
4966	0.050000
4965	0.050000
4964	0.050000
4963	0.050000
4962	0.050000
4961	0.050000
4960	0.050000
4959	0.050000
4958	0.050000
4957	0.050000
4956	0.050000
4955	0.050000
4954	0.050000
4953	0.050000
4952	0.050000
4951	0.050000
4950	0.050000
4949	0.050000
4948	0.050000
4947	0.050000
4946	0.050000
4945	0.050000
4944	0.050000
4943	0.050000
4942	0.050000
4941	0.050000
4940	0.050000
4939	0.050000
4938	0.050000
4937	0.050000
4936	0.050000
4935	0.050000
4934	0.050000
4933	0.050000
4932	0.050000
4931	0.050000
4930	0.050000
4929	0.050000
4928	0.050000
4927	0.050000
4926	0.050000
4925	0.050000
4924	0.050000
4923	0.050000
4922	0.050000
4921	0.050000
4920	0.050000
4919	0.050000
4918	0.050000
4917	0.050000
4916	0.050000
4915	0.050000
4914	0.050000
4913	0.050000
4912	0.050000
4911	0.050000
4910	0.050000
4909	0.050000
4908	0.050000
4907	0.050000
4906	0.050000
4905	0.050000
4904	0.050000
4903	0.050000
4902	0.050000
4901	0.050000
4900	0.050000
4899	0.050000
4898	0.050000
4897	0.050000
4896	0.050000
4895	0.050000
4894	0.050000
4893	0.050000
4892	0.050000
4891	0.050000
4890	0.050000
4889	0.050000
4888	0.050000
4887	0.050000
4886	0.050000
4885	0.050000
4884	0.050000
4883	0.050000
4882	0.050000
4881	0.050000
4880	0.050000
4879	0.050000
4878	0.050000
4877	0.050000
4876	0.050000
4875	0.050000
4874	0.050000
4873	0.050000
4872	0.050000
4871	0.050000
4870	0.050000
4869	0.050000
4868	0.050000
4867	0.050000
4866	0.050000
4865	0.050000
4864	0.050000
4863	0.050000
4862	0.050000
4861	0.050000
4860	0.050000
4859	0.050000
4858	0.050000
4857	0.050000
4856	0.050000
4855	0.050000
4854	0.050000
4853	0.050000
4852	0.050000
4851	0.050000
4850	0.050000
4849	0.050000
4848	0.050000
4847	0.050000
4846	0.050000
4845	0.050000
4844	0.050000
4843	0.050000
4842	0.050000
4841	0.050000
4840	0.050000
4839	0.050000
4838	0.050000
4837	0.050000
4836	0.050000
4835	0.050000
4834	0.050000
4833	0.050000
4832	0.050000
4831	0.050000
4830	0.050000
4829	0.050000
4828	0.050000
4827	0.050000
4826	0.050000
4825	0.050000
4824	0.050000
4823	0.050000
4822	0.050000
4821	0.050000
4820	0.050000
4819	0.050000
4818	0.050000
4817	0.050000
4816	0.050000
4815	0.050000
4814	0.050000
4813	0.050000
4812	0.050000
4811	0.050000
4810	0.050000
4809	0.050000
4808	0.050000
4807	0.050000
4806	0.050000
4805	0.050000
4804	0.050000
4803	0.050000
4802	0.050000
4801	0.050000
4800	0.050000
4799	0.050000
4798	0.050000
4797	0.050000
4796	0.050000
4795	0.050000
4794	0.050000
4793	0.050000
4792	0.050000
4791	0.050000
4790	0.050000
4789	0.050000
4788	0.050000
4787	0.050000
4786	0.050000
4785	0.050000
4784	0.050000
4783	0.050000
