bp	annual_hunting_mortality
5200	0.010000
5199	0.010000
5198	0.010000
5197	0.010000
5196	0.010000
5195	0.010000
5194	0.010000
5193	0.010000
5192	0.010000
5191	0.010000
5190	0.010000
5189	0.010000
5188	0.010000
5187	0.010000
5186	0.010000
5185	0.010000
5184	0.010000
5183	0.010000
5182	0.010000
5181	0.010000
5180	0.010000
5179	0.010000
5178	0.010000
5177	0.010000
5176	0.010000
5175	0.010000
5174	0.010000
5173	0.010000
5172	0.010000
5171	0.010000
5170	0.010000
5169	0.010000
5168	0.010000
5167	0.010000
5166	0.010000
5165	0.010000
5164	0.010000
5163	0.010000
5162	0.010000
5161	0.010000
5160	0.010000
5159	0.010000
5158	0.010000
5157	0.010000
5156	0.010000
5155	0.010000
5154	0.010000
5153	0.010000
5152	0.010000
5151	0.010000
5150	0.010000
5149	0.010000
5148	0.010000
5147	0.010000
5146	0.010000
5145	0.010000
5144	0.010000
5143	0.010000
5142	0.010000
5141	0.010000
5140	0.010000
5139	0.010000
5138	0.010000
5137	0.010000
5136	0.010000
5135	0.010000
5134	0.010000
5133	0.010000
5132	0.010000
5131	0.010000
5130	0.010000
5129	0.010000
5128	0.010000
5127	0.010000
5126	0.010000
5125	0.010000
5124	0.010000
5123	0.010000
5122	0.010000
5121	0.010000
5120	0.010000
5119	0.010000
5118	0.010000
5117	0.010000
5116	0.010000
5115	0.010000
5114	0.010000
5113	0.010000
5112	0.010000
5111	0.010000
5110	0.010000
5109	0.010000
5108	0.010000
5107	0.010000
5106	0.010000
5105	0.010000
5104	0.010000
5103	0.010000
5102	0.010000
5101	0.010000
5100	0.010000
5099	0.010000
5098	0.010000
5097	0.010000
5096	0.010000
5095	0.010000
5094	0.010000
5093	0.010000
5092	0.010000
5091	0.010000
5090	0.010000
5089	0.010000
5088	0.010000
5087	0.010000
5086	0.010000
5085	0.010000
5084	0.010000
5083	0.010000
5082	0.010000
5081	0.010000
5080	0.010000
5079	0.010000
5078	0.010000
5077	0.010000
5076	0.010000
5075	0.010000
5074	0.010000
5073	0.010000
5072	0.010000
5071	0.010000
5070	0.010000
5069	0.010000
5068	0.010000
5067	0.010000
5066	0.010000
5065	0.010000
5064	0.010000
5063	0.010000
5062	0.010000
5061	0.010000
5060	0.010000
5059	0.010000
5058	0.010000
5057	0.010000
5056	0.010000
5055	0.010000
5054	0.010000
5053	0.010000
5052	0.010000
5051	0.010000
5050	0.010000
5049	0.010000
5048	0.010000
5047	0.010000
5046	0.010000
5045	0.010000
5044	0.010000
5043	0.010000
5042	0.010000
5041	0.010000
5040	0.010000
5039	0.010000
5038	0.010000
5037	0.010000
5036	0.010000
5035	0.010000
5034	0.010000
5033	0.010000
5032	0.010000
5031	0.010000
5030	0.010000
5029	0.010000
5028	0.010000
5027	0.010000
5026	0.010000
5025	0.010000
5024	0.010000
5023	0.010000
5022	0.010000
5021	0.010000
5020	0.010000
5019	0.010000
5018	0.010000
5017	0.010000
5016	0.010000
5015	0.010000
5014	0.010000
5013	0.010000
5012	0.010000
5011	0.010000
5010	0.010000
5009	0.010000
5008	0.010000
5007	0.010000
5006	0.010000
5005	0.010000
5004	0.010000
5003	0.010000
5002	0.010000
5001	0.010000
5000	0.010000
4999	0.010000
4998	0.010000
4997	0.010000
4996	0.010000
4995	0.010000
4994	0.010000
4993	0.010000
4992	0.010000
4991	0.010000
4990	0.010000
4989	0.010000
4988	0.010000
4987	0.010000
4986	0.010000
4985	0.010000
4984	0.010000
4983	0.010000
4982	0.010000
4981	0.010000
4980	0.010000
4979	0.010000
4978	0.010000
4977	0.010000
4976	0.010000
4975	0.010000
4974	0.010000
4973	0.010000
4972	0.010000
4971	0.010000
4970	0.010000
4969	0.010000
4968	0.010000
4967	0.010000
4966	0.010000
4965	0.010000
4964	0.010000
4963	0.010000
4962	0.010000
4961	0.010000
4960	0.010000
4959	0.010000
4958	0.010000
4957	0.010000
4956	0.010000
4955	0.010000
4954	0.010000
4953	0.010000
4952	0.010000
4951	0.010000
4950	0.010000
4949	0.010000
4948	0.010000
4947	0.010000
4946	0.010000
4945	0.010000
4944	0.010000
4943	0.010000
4942	0.010000
4941	0.010000
4940	0.010000
4939	0.010000
4938	0.010000
4937	0.010000
4936	0.010000
4935	0.010000
4934	0.010000
4933	0.010000
4932	0.010000
4931	0.010000
4930	0.010000
4929	0.010000
4928	0.010000
4927	0.010000
4926	0.010000
4925	0.010000
4924	0.010000
4923	0.010000
4922	0.010000
4921	0.010000
4920	0.010000
4919	0.010000
4918	0.010000
4917	0.010000
4916	0.010000
4915	0.010000
4914	0.010000
4913	0.010000
4912	0.010000
4911	0.010000
4910	0.010000
4909	0.010000
4908	0.010000
4907	0.010000
4906	0.010000
4905	0.010000
4904	0.010000
4903	0.010000
4902	0.010000
4901	0.010000
4900	0.010000
4899	0.010000
4898	0.010000
4897	0.010000
4896	0.010000
4895	0.010000
4894	0.010000
4893	0.010000
4892	0.010000
4891	0.010000
4890	0.010000
4889	0.010000
4888	0.010000
4887	0.010000
4886	0.010000
4885	0.010000
4884	0.010000
4883	0.010000
4882	0.010000
4881	0.010000
4880	0.010000
4879	0.010000
4878	0.010000
4877	0.010000
4876	0.010000
4875	0.010000
4874	0.010000
4873	0.010000
4872	0.010000
4871	0.010000
4870	0.010000
4869	0.010000
4868	0.010000
4867	0.010000
4866	0.010000
4865	0.010000
4864	0.010000
4863	0.010000
4862	0.010000
4861	0.010000
4860	0.010000
4859	0.010000
4858	0.010000
4857	0.010000
4856	0.010000
4855	0.010000
4854	0.010000
4853	0.010000
4852	0.010000
4851	0.010000
4850	0.010000
4849	0.010000
4848	0.010000
4847	0.010000
4846	0.010000
4845	0.010000
4844	0.010000
4843	0.010000
4842	0.010000
4841	0.010000
4840	0.010000
4839	0.010000
4838	0.010000
4837	0.010000
4836	0.010000
4835	0.010000
4834	0.010000
4833	0.010000
4832	0.010000
4831	0.010000
4830	0.010000
4829	0.010000
4828	0.010000
4827	0.010000
4826	0.010000
4825	0.010000
4824	0.010000
4823	0.010000
4822	0.010000
4821	0.010000
4820	0.010000
4819	0.010000
4818	0.010000
4817	0.010000
4816	0.010000
4815	0.010000
4814	0.010000
4813	0.010000
4812	0.010000
4811	0.010000
4810	0.010000
4809	0.010000
4808	0.010000
4807	0.010000
4806	0.010000
4805	0.010000
4804	0.010000
4803	0.010000
4802	0.010000
4801	0.010000
4800	0.010000
4799	0.010000
4798	0.010000
4797	0.010000
4796	0.010000
4795	0.010000
4794	0.010000
4793	0.010000
4792	0.010000
4791	0.010000
4790	0.010000
4789	0.010000
4788	0.010000
4787	0.010000
4786	0.010000
4785	0.010000
4784	0.010000
4783	0.010000
4782	0.010000
4781	0.010000
4780	0.010000
4779	0.010000
4778	0.010000
4777	0.010000
4776	0.010000
4775	0.010000
4774	0.010000
