bp	settlements	annual_hunting_mortality
5200	372.000000	0.050000
5199	372.000000	0.050000
5198	372.000000	0.050000
5197	372.000000	0.050000
5196	372.000000	0.050000
5195	372.000000	0.050000
5194	372.000000	0.050000
5193	372.000000	0.050000
5192	372.000000	0.050000
5191	372.000000	0.050000
5190	372.000000	0.050000
5189	372.000000	0.050000
5188	372.000000	0.050000
5187	372.000000	0.050000
5186	372.000000	0.050000
5185	372.000000	0.050000
5184	372.000000	0.050000
5183	372.000000	0.050000
5182	372.000000	0.050000
5181	372.000000	0.050000
5180	372.000000	0.050000
5179	372.000000	0.050000
5178	372.000000	0.050000
5177	372.000000	0.050000
5176	372.000000	0.050000
5175	372.000000	0.050000
5174	372.000000	0.050000
5173	372.000000	0.050000
5172	372.000000	0.050000
5171	372.000000	0.050000
5170	372.000000	0.050000
5169	372.000000	0.050000
5168	372.000000	0.050000
5167	372.000000	0.050000
5166	372.000000	0.050000
5165	372.000000	0.050000
5164	372.000000	0.050000
5163	372.000000	0.050000
5162	372.000000	0.050000
5161	372.000000	0.050000
5160	372.000000	0.050000
5159	372.000000	0.050000
5158	372.000000	0.050000
5157	372.000000	0.050000
5156	372.000000	0.050000
5155	372.000000	0.050000
5154	372.000000	0.050000
5153	372.000000	0.050000
5152	372.000000	0.050000
5151	372.000000	0.050000
5150	372.000000	0.050000
5149	372.000000	0.050000
5148	372.000000	0.050000
5147	372.000000	0.050000
5146	372.000000	0.050000
5145	372.000000	0.050000
5144	372.000000	0.050000
5143	372.000000	0.050000
5142	372.000000	0.050000
5141	372.000000	0.050000
5140	372.000000	0.050000
5139	372.000000	0.050000
5138	372.000000	0.050000
5137	372.000000	0.050000
5136	372.000000	0.050000
5135	372.000000	0.050000
5134	372.000000	0.050000
5133	372.000000	0.050000
5132	372.000000	0.050000
5131	372.000000	0.050000
5130	372.000000	0.050000
5129	372.000000	0.050000
5128	372.000000	0.050000
5127	372.000000	0.050000
5126	372.000000	0.050000
5125	372.000000	0.050000
5124	372.000000	0.050000
5123	372.000000	0.050000
5122	372.000000	0.050000
5121	372.000000	0.050000
5120	372.000000	0.050000
5119	372.000000	0.050000
5118	372.000000	0.050000
5117	372.000000	0.050000
5116	372.000000	0.050000
5115	372.000000	0.050000
5114	372.000000	0.050000
5113	372.000000	0.050000
5112	372.000000	0.050000
5111	372.000000	0.050000
5110	372.000000	0.050000
5109	372.000000	0.050000
5108	372.000000	0.050000
5107	372.000000	0.050000
5106	372.000000	0.050000
5105	372.000000	0.050000
5104	372.000000	0.050000
5103	372.000000	0.050000
5102	372.000000	0.050000
5101	372.000000	0.050000
5100	372.000000	0.050000
5099	372.000000	0.050000
5098	372.000000	0.050000
5097	372.000000	0.050000
5096	372.000000	0.050000
5095	372.000000	0.050000
5094	372.000000	0.050000
5093	372.000000	0.050000
5092	372.000000	0.050000
5091	372.000000	0.050000
5090	372.000000	0.050000
5089	372.000000	0.050000
5088	372.000000	0.050000
5087	372.000000	0.050000
5086	372.000000	0.050000
5085	372.000000	0.050000
5084	372.000000	0.050000
5083	372.000000	0.050000
5082	372.000000	0.050000
5081	372.000000	0.050000
5080	372.000000	0.050000
5079	372.000000	0.050000
5078	372.000000	0.050000
5077	372.000000	0.050000
5076	372.000000	0.050000
5075	372.000000	0.050000
5074	372.000000	0.050000
5073	372.000000	0.050000
5072	372.000000	0.050000
5071	372.000000	0.050000
5070	372.000000	0.050000
5069	372.000000	0.050000
5068	372.000000	0.050000
5067	372.000000	0.050000
5066	372.000000	0.050000
5065	372.000000	0.050000
5064	372.000000	0.050000
