cycle	bp	stage	scenario	genetic_mode	N	K_t	climate_K_factor	human_K_factor	q_hunting	N_female	N_male	N_juvenile	N_age0	N_age1	births_total	births_own_OMU	births_other_OMU	births_AMU	adult_females	adult_males	breeding_females	candidate_fathers	OMU_count	AMU_males	AMU_count_proxy	AMU_males_per_OMU	dominant_males	no_breeder_years	quasi_extinct	functional_extinct	demographic_extinct	mean_age	density_factor
50	100	pre_breeding	M1	selected	105	100.0	1.0	1.0	0.0	50	55	60	19	10	0	0	0	0	25	17	2	17	6	17	2	2.83333	6	0	0	0	0	5.10476	0.998499
50	100	post_mortality	M1	selected	100	100.0	1.0	1.0	0.0	46	54	58	17	10	0	0	0	0	22	17	2	17	5	17	2	3.4	5	0	0	0	0	4.99	0.998499
51	99	post_mortality	M1	selected	106	100.0	1.0	1.0	0.0	51	55	61	14	17	17	13	3	1	26	16	0	16	5	21	3	4.2	3	1	0	0	0	5.03774	0.896991
52	98	post_mortality	M1	selected	103	100.0	1.0	1.0	0.0	46	57	61	15	14	19	12	5	2	22	13	0	13	5	23	3	4.6	4	2	0	0	0	4.76699	0.839217
53	97	post_mortality	M1	selected	102	100.0	1.0	1.0	0.0	51	51	60	13	12	14	9	1	4	22	10	2	10	5	23	3	4.6	2	0	0	0	0	4.73529	0.894824
54	96	post_mortality	M1	selected	102	100.0	1.0	1.0	0.0	54	48	62	13	12	13	8	3	2	24	7	0	7	5	19	2	3.8	4	1	0	0	0	4.77451	0.909566
55	95	post_mortality	M1	selected	99	100.0	1.0	1.0	0.0	53	46	52	11	10	15	9	1	5	25	11	3	11	5	22	3	4.4	4	0	0	0	0	5.33333	0.893874
56	94	post_mortality	M1	selected	103	100.0	1.0	1.0	0.0	52	51	55	19	10	21	12	1	8	26	11	1	11	5	20	2	4.0	4	0	0	0	0	5.17476	0.876021
57	93	post_mortality	M1	selected	103	100.0	1.0	1.0	0.0	50	53	57	13	18	13	8	1	4	26	12	1	12	5	19	2	3.8	4	0	0	0	0	5.26214	0.905986
58	92	post_mortality	M1	selected	100	100.0	1.0	1.0	0.0	45	55	54	20	10	22	14	3	5	25	14	2	14	6	18	2	3.0	5	0	0	0	0	5.18	0.842706
59	91	post_mortality	M1	selected	99	100.0	1.0	1.0	0.0	43	56	55	14	17	14	7	3	4	24	15	2	15	6	17	2	2.83333	5	0	0	0	0	5.24242	0.926482
60	90	post_mortality	M1	selected	101	100.0	1.0	1.0	0.0	43	58	59	11	13	13	9	1	3	22	15	1	15	6	21	3	3.5	6	0	0	0	0	5.31683	0.936828
61	89	post_mortality	M1	selected	104	100.0	1.0	1.0	0.0	49	55	62	12	11	13	9	0	4	22	15	0	15	6	21	3	3.5	5	1	0	0	0	5.28846	0.921578
62	88	post_mortality	M1	selected	102	100.0	1.0	1.0	0.0	47	55	55	9	12	13	12	1	0	22	15	0	15	6	27	3	4.5	6	2	0	0	0	5.89216	0.896662
63	87	post_mortality	M1	selected	103	100.0	1.0	1.0	0.0	52	51	52	15	7	19	11	0	8	23	16	2	16	5	32	4	6.4	3	0	0	0	0	5.66019	0.870641
64	86	post_mortality	M1	selected	93	100.0	1.0	1.0	0.0	46	47	43	11	13	14	12	0	2	20	14	1	14	6	28	3	4.66667	4	0	0	0	0	5.23656	0.900158
65	85	post_mortality	M1	selected	101	100.0	1.0	1.0	0.0	53	48	49	14	10	15	9	2	4	22	21	1	21	6	25	3	4.16667	6	0	0	0	0	5.39604	0.970413
66	84	post_mortality	M1	selected	99	100.0	1.0	1.0	0.0	54	45	48	11	12	13	12	1	0	24	25	2	25	6	25	3	4.16667	4	0	0	0	0	5.52525	0.920736
67	83	post_mortality	M1	selected	95	100.0	1.0	1.0	0.0	51	44	48	13	11	15	11	1	3	22	22	0	22	6	22	3	3.66667	5	1	0	0	0	5.57895	0.919431
68	82	post_mortality	M1	selected	102	100.0	1.0	1.0	0.0	55	47	50	16	11	18	9	4	5	26	22	0	22	7	20	2	2.85714	7	2	0	0	0	5.79412	0.927627
69	81	post_mortality	M1	selected	98	100.0	1.0	1.0	0.0	55	43	53	10	14	11	6	0	5	23	20	1	20	7	18	2	2.57143	5	0	0	0	0	6.08163	0.931377
70	80	post_mortality	M1	selected	104	100.0	1.0	1.0	0.0	58	46	56	17	9	19	11	3	5	23	19	1	19	7	18	2	2.57143	7	0	0	0	0	5.94231	0.900593
71	79	post_mortality	M1	selected	104	100.0	1.0	1.0	0.0	58	46	58	13	16	15	8	1	6	24	16	0	16	7	20	2	2.85714	4	1	0	0	0	5.61538	0.890675
72	78	post_mortality	M1	selected	97	100.0	1.0	1.0	0.0	55	42	55	14	10	17	11	1	5	21	14	2	14	7	20	2	2.85714	5	0	0	0	0	5.49485	0.871579
73	77	post_mortality	M1	selected	99	100.0	1.0	1.0	0.0	56	43	51	13	11	16	11	1	4	26	15	2	15	7	17	2	2.42857	7	0	0	0	0	5.56566	0.93218
74	76	post_mortality	M1	selected	102	100.0	1.0	1.0	0.0	58	44	56	15	9	18	13	3	2	26	14	3	14	7	17	2	2.42857	6	0	0	0	0	5.30392	0.89784
75	75	post_mortality	M1	selected	101	100.0	1.0	1.0	0.0	52	49	55	16	13	21	17	1	3	27	15	2	15	8	15	2	1.875	7	0	0	0	0	5.15842	0.852588
76	74	post_mortality	M1	selected	101	100.0	1.0	1.0	0.0	48	53	57	10	16	15	9	4	2	24	15	0	15	7	15	2	2.14286	6	1	0	0	0	5.32673	0.906215
77	73	post_mortality	M1	selected	97	100.0	1.0	1.0	0.0	50	47	54	16	7	23	14	4	5	29	11	3	11	8	13	2	1.625	5	0	0	0	0	4.95876	0.847255
78	72	post_mortality	M1	selected	102	100.0	1.0	1.0	0.0	51	51	55	13	13	16	12	0	4	30	12	3	12	8	14	2	1.75	8	0	0	0	0	5.07843	0.929726
