cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
50	100	M2	selected	pre_breeding	105	29	31	26	12	6	1	6	6	5	17	0	11	0	0	0
50	100	M2	selected	post_mortality	100	26	30	25	12	6	1	6	6	5	17	0	11	0	0	0
51	99	M2	selected	pre_breeding	100	17	31	30	14	6	2	5	5	6	19	1	14	0	0	0
51	99	M2	selected	post_mortality	95	23	27	27	12	4	2	5	4	5	17	1	13	1	0	0
52	98	M2	selected	pre_breeding	95	11	29	32	16	4	3	5	5	9	17	4	12	0	0	0
52	98	M2	selected	post_mortality	100	23	26	31	16	2	2	5	4	8	15	4	11	1	0	0
53	97	M2	selected	pre_breeding	100	15	28	32	20	2	3	6	6	11	18	5	12	0	0	0
53	97	M2	selected	post_mortality	100	26	24	29	17	2	2	6	5	10	17	5	12	1	0	0
54	96	M2	selected	pre_breeding	100	12	32	31	19	3	3	6	6	12	22	6	16	0	0	0
54	96	M2	selected	post_mortality	99	22	27	29	17	2	2	6	6	10	19	4	13	0	0	0
55	95	M2	selected	pre_breeding	99	14	25	35	17	6	2	6	6	11	21	5	15	0	0	0
55	95	M2	selected	post_mortality	96	22	24	29	15	5	1	6	5	9	18	4	13	1	0	0
56	94	M2	selected	pre_breeding	96	10	30	31	17	7	1	6	6	9	21	3	15	0	0	0
56	94	M2	selected	post_mortality	96	22	28	25	14	6	1	6	5	8	18	3	13	1	0	0
57	93	M2	selected	pre_breeding	96	12	28	30	18	7	1	6	6	10	21	4	15	0	0	0
57	93	M2	selected	post_mortality	104	26	26	29	16	6	1	6	6	10	21	4	15	0	0	0
58	92	M2	selected	pre_breeding	104	14	30	33	17	9	1	6	6	12	23	6	17	0	0	0
58	92	M2	selected	post_mortality	98	26	25	26	14	6	1	6	3	9	20	6	17	3	0	0
59	91	M2	selected	pre_breeding	98	15	29	29	16	6	3	6	6	12	23	6	17	0	0	0
59	91	M2	selected	post_mortality	98	24	29	28	12	5	0	6	3	8	18	5	15	3	0	0
60	90	M2	selected	pre_breeding	98	10	35	31	17	4	1	6	6	11	21	5	15	0	0	0
60	90	M2	selected	post_mortality	93	22	32	23	12	3	1	6	5	7	14	2	9	1	0	0
61	89	M2	selected	pre_breeding	93	12	33	32	12	1	3	6	6	7	18	1	12	0	0	0
61	89	M2	selected	post_mortality	98	23	32	28	11	1	3	6	6	7	18	1	12	0	0	0
62	88	M2	selected	pre_breeding	98	11	35	33	12	3	4	6	6	9	19	3	13	0	0	0
62	88	M2	selected	post_mortality	96	18	32	31	10	2	3	5	4	8	17	3	12	1	1	0
63	87	M2	selected	pre_breeding	96	9	30	38	12	4	3	5	5	9	20	4	15	0	0	0
63	87	M2	selected	post_mortality	91	17	25	33	11	2	3	5	5	8	15	3	10	0	0	0
64	86	M2	selected	pre_breeding	91	10	25	37	13	3	3	5	5	8	20	3	15	0	0	0
64	86	M2	selected	post_mortality	102	25	23	36	13	3	2	5	5	8	20	3	15	0	0	0
65	85	M2	selected	pre_breeding	102	16	23	39	17	5	2	5	5	9	24	4	19	0	0	0
65	85	M2	selected	post_mortality	106	24	23	37	17	4	1	5	4	8	22	4	18	1	0	0
66	84	M2	selected	pre_breeding	106	10	29	39	23	4	1	5	5	11	26	6	21	0	0	0
66	84	M2	selected	post_mortality	100	24	24	28	21	3	0	5	5	11	22	6	17	0	0	0
67	83	M2	selected	pre_breeding	100	16	26	30	21	7	0	5	5	14	26	9	21	0	0	0
67	83	M2	selected	post_mortality	101	28	24	24	19	6	0	5	3	12	22	9	19	2	0	0
68	82	M2	selected	pre_breeding	101	13	34	23	23	7	1	5	5	13	24	8	19	0	0	0
68	82	M2	selected	post_mortality	99	23	28	22	21	5	0	5	4	11	20	7	16	1	0	0
69	81	M2	selected	pre_breeding	99	12	29	27	23	7	1	5	5	12	22	7	17	0	0	0
69	81	M2	selected	post_mortality	91	22	25	24	16	4	0	5	3	6	13	3	10	2	0	0
70	80	M2	selected	pre_breeding	91	13	28	27	15	7	1	5	5	8	16	3	11	0	0	0
70	80	M2	selected	post_mortality	100	27	26	26	15	6	0	5	5	8	16	3	11	0	0	0
71	79	M2	selected	pre_breeding	100	15	31	30	15	9	0	5	5	8	20	3	15	0	0	0
71	79	M2	selected	post_mortality	104	27	29	25	15	8	0	5	5	8	18	3	13	0	0	0
72	78	M2	selected	pre_breeding	104	15	31	31	17	9	1	5	5	8	19	3	14	0	0	0
72	78	M2	selected	post_mortality	107	28	28	29	14	8	0	5	3	6	15	3	12	2	0	0
73	77	M2	selected	pre_breeding	107	17	31	34	13	12	0	5	5	7	18	2	13	0	0	0
