cycle	bp	scenario	genetic_mode	N	sample_n	mean_genetic_fitness	mean_2B	mean_het_del	mean_hom_del	mean_weak_het	mean_moderate_het	mean_strong_het	mean_vstrong_het	segregating_del_muts	fixed_del_muts
50	100	M2	selected	105	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
50	100	M2	selected	100	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
51	99	M2	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
54	96	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
55	95	M2	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
56	94	M2	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
58	92	M2	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
59	91	M2	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
60	90	M2	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
61	89	M2	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
62	88	M2	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
63	87	M2	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
68	82	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
69	81	M2	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
73	77	M2	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
75	75	M2	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
79	71	M2	selected	94	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
81	69	M2	selected	94	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
82	68	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
83	67	M2	selected	97	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
85	65	M2	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
86	64	M2	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
90	60	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
91	59	M2	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
92	58	M2	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
93	57	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
94	56	M2	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
95	55	M2	selected	94	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
96	54	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
98	52	M2	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
