cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
50	100	M3	selected	pre_breeding	105	29	31	26	12	6	1	6	6	5	17	0	11	0	0	0
50	100	M3	selected	post_mortality	93	26	27	24	10	5	1	6	5	4	15	0	10	1	0	0
51	99	M3	selected	pre_breeding	93	18	27	30	11	5	2	5	5	5	17	0	12	0	0	0
51	99	M3	selected	post_mortality	91	29	21	25	10	4	2	5	5	5	15	0	10	0	0	0
52	98	M3	selected	pre_breeding	91	14	28	28	14	4	3	5	5	9	15	4	10	0	0	0
52	98	M3	selected	post_mortality	86	22	23	24	11	4	2	5	4	7	12	3	8	1	0	0
53	97	M3	selected	pre_breeding	86	11	27	28	12	5	3	5	5	9	13	4	8	0	0	0
53	97	M3	selected	post_mortality	92	22	23	28	11	5	3	5	5	8	12	3	7	0	0	0
54	96	M3	selected	pre_breeding	92	11	28	33	10	6	4	5	5	7	16	2	11	0	0	0
54	96	M3	selected	post_mortality	86	21	23	26	9	4	3	5	5	6	15	1	10	0	0	0
55	95	M3	selected	pre_breeding	86	12	25	29	11	6	3	5	5	7	20	2	15	0	0	0
55	95	M3	selected	post_mortality	84	25	21	24	8	3	3	5	3	5	15	2	12	2	0	0
56	94	M3	selected	pre_breeding	84	14	26	26	11	4	3	5	5	6	16	1	11	0	0	0
56	94	M3	selected	post_mortality	89	22	24	26	11	4	2	5	5	6	16	1	11	0	0	0
57	93	M3	selected	pre_breeding	89	8	30	29	13	6	3	5	5	8	20	3	15	0	0	0
57	93	M3	selected	post_mortality	90	22	25	25	12	3	3	5	4	7	18	3	14	1	0	0
58	92	M3	selected	pre_breeding	90	15	26	26	16	4	3	5	5	11	20	6	15	0	0	0
58	92	M3	selected	post_mortality	91	22	25	25	14	3	2	5	4	10	17	6	13	1	0	0
59	91	M3	selected	pre_breeding	91	10	30	29	17	3	2	5	5	10	19	5	14	0	0	0
59	91	M3	selected	post_mortality	79	19	23	21	14	1	1	5	3	8	14	5	11	2	0	0
60	90	M3	selected	pre_breeding	79	12	20	27	17	2	1	5	5	11	17	6	12	0	0	0
60	90	M3	selected	post_mortality	84	19	19	27	17	1	1	5	5	11	17	6	12	0	0	0
61	89	M3	selected	pre_breeding	84	9	24	28	18	4	1	5	5	13	19	8	14	0	0	0
61	89	M3	selected	post_mortality	87	18	22	26	17	4	0	5	4	12	18	8	14	1	0	0
62	88	M3	selected	pre_breeding	87	9	23	30	17	8	0	5	5	12	27	7	22	0	0	0
62	88	M3	selected	post_mortality	90	17	23	29	13	8	0	5	5	10	25	5	20	0	0	0
63	87	M3	selected	pre_breeding	90	8	26	30	15	11	0	5	5	11	27	6	22	0	0	0
63	87	M3	selected	post_mortality	89	20	23	25	11	10	0	5	3	8	21	5	18	2	0	0
64	86	M3	selected	pre_breeding	89	12	24	28	14	11	0	5	5	8	28	3	23	0	0	0
64	86	M3	selected	post_mortality	90	20	21	27	13	9	0	5	5	8	26	3	21	0	0	0
65	85	M3	selected	pre_breeding	90	8	25	29	17	10	1	5	5	14	27	9	22	0	0	0
65	85	M3	selected	post_mortality	91	19	22	26	15	9	0	5	5	14	25	9	20	0	0	0
66	84	M3	selected	pre_breeding	91	13	22	29	17	8	2	5	5	14	29	9	24	0	0	0
66	84	M3	selected	post_mortality	90	23	21	24	15	5	2	4	3	12	24	8	20	1	1	0
67	83	M3	selected	pre_breeding	90	11	28	24	18	6	3	4	4	16	26	12	22	0	0	0
67	83	M3	selected	post_mortality	92	22	26	22	15	5	2	4	4	14	23	10	19	0	0	0
68	82	M3	selected	pre_breeding	92	11	27	28	17	6	3	4	4	15	26	11	22	0	0	0
68	82	M3	selected	post_mortality	95	25	24	25	14	4	3	4	3	13	22	10	19	1	0	0
69	81	M3	selected	pre_breeding	95	15	29	26	15	6	4	4	4	14	23	10	19	0	0	0
69	81	M3	selected	post_mortality	93	21	27	22	15	5	3	4	3	13	21	10	18	1	0	0
70	80	M3	selected	pre_breeding	93	8	31	28	15	8	3	4	4	13	22	9	18	0	0	0
70	80	M3	selected	post_mortality	91	21	23	25	14	5	3	4	3	10	17	7	14	1	0	0
71	79	M3	selected	pre_breeding	91	14	25	27	16	5	4	4	4	11	19	7	15	0	0	0
71	79	M3	selected	post_mortality	92	23	23	23	16	3	4	4	4	11	16	7	12	0	0	0
72	78	M3	selected	pre_breeding	92	9	29	29	15	6	4	4	4	11	19	7	15	0	0	0
72	78	M3	selected	post_mortality	89	22	22	26	12	4	3	4	3	8	15	5	12	1	0	0
73	77	M3	selected	pre_breeding	89	14	22	27	16	6	4	4	4	7	17	3	13	0	0	0
73	77	M3	selected	post_mortality	85	23	18	23	12	6	3	3	2	6	15	3	12	1	1	0
74	76	M3	selected	pre_breeding	85	11	25	24	15	7	3	4	4	6	17	2	13	0	0	0
74	76	M3	selected	post_mortality	91	22	25	23	14	6	1	4	3	5	15	2	12	1	0	0
75	75	M3	selected	pre_breeding	91	12	28	26	16	8	1	4	4	8	19	4	15	0	0	0
75	75	M3	selected	post_mortality	92	25	25	24	13	4	1	4	2	5	13	3	11	2	0	0
76	74	M3	selected	pre_breeding	92	14	30	29	12	5	2	5	5	5	14	0	9	0	0	0
76	74	M3	selected	post_mortality	96	27	26	26	12	4	1	5	5	5	13	0	8	0	0	0
77	73	M3	selected	pre_breeding	96	14	31	31	15	3	2	6	6	5	16	0	10	0	0	0
77	73	M3	selected	post_mortality	92	25	25	25	12	3	2	5	4	4	15	0	10	1	1	0
78	72	M3	selected	pre_breeding	92	14	30	24	16	5	3	5	5	8	16	3	11	0	0	0
78	72	M3	selected	post_mortality	88	25	24	21	12	4	2	4	3	7	15	3	11	1	1	0
