cycle	bp	scenario	genetic_mode	N	K_t	climate_K_factor	human_K_factor	q_hunting	N_female	N_male	N_juvenile	N_age0	N_age1	adult_females	adult_males	breeding_females	candidate_fathers	OMU_count	AMU_males	AMU_count_proxy	AMU_males_per_OMU	dominant_males	no_breeder_years	quasi_extinct	functional_extinct	demographic_extinct	mean_age	density_factor
50	100	M3	selected	105	90.0	1.0	0.9	0.01	50	55	60	19	10	25	17	25	17	5	18	2	3.6	5	0	0	0	0	5.10476	0.907727
50	100	M3	selected	93	90.0	1.0	0.9	0.01	45	48	53	18	8	22	15	22	15	5	16	2	3.2	4	0	0	0	0	5.04301	0.907727
51	99	M3	selected	93	90.0	1.0	0.9	0.01	44	49	59	21	14	20	11	0	11	5	15	2	3.0	3	1	0	0	0	4.26882	0.797037
52	98	M3	selected	86	90.0	1.0	0.9	0.01	46	40	50	10	17	21	9	2	9	5	15	2	3.0	4	0	0	0	0	4.73256	0.921279
53	97	M3	selected	85	90.0	1.0	0.9	0.01	46	39	49	10	9	21	9	1	9	5	11	2	2.2	5	0	0	0	0	4.85882	0.964085
54	96	M3	selected	93	90.0	1.0	0.9	0.01	50	43	56	11	10	21	11	0	11	5	19	2	3.8	5	1	0	0	0	5.2043	0.97852
55	95	M3	selected	79	90.0	1.0	0.9	0.01	42	37	44	11	9	17	10	2	10	5	20	2	4.0	3	0	0	0	0	5.06329	0.884172
56	94	M3	selected	89	90.0	1.0	0.9	0.01	47	42	47	12	11	19	11	0	11	5	19	2	3.8	5	1	0	0	0	5.21348	1.0
57	93	M3	selected	91	90.0	1.0	0.9	0.01	48	43	50	13	12	21	15	0	15	5	19	2	3.8	5	2	0	0	0	5.17582	0.917835
58	92	M3	selected	89	90.0	1.0	0.9	0.01	48	41	49	9	11	21	14	2	14	5	19	2	3.8	3	0	0	0	0	5.39326	0.917186
59	91	M3	selected	83	90.0	1.0	0.9	0.01	43	40	44	12	6	18	13	1	13	5	19	2	3.8	4	0	0	0	0	5.42169	0.899492
60	90	M3	selected	92	90.0	1.0	0.9	0.01	47	45	47	11	12	21	17	0	17	5	22	3	4.4	5	1	0	0	0	5.55435	1.0
61	89	M3	selected	88	90.0	1.0	0.9	0.01	43	45	44	15	7	21	15	4	15	6	21	3	3.5	4	0	0	0	0	5.42045	0.878018
62	88	M3	selected	90	90.0	1.0	0.9	0.01	47	43	45	10	14	22	16	1	16	6	19	2	3.16667	5	0	0	0	0	5.31111	0.951565
63	87	M3	selected	88	90.0	1.0	0.9	0.01	43	45	48	15	7	19	17	2	17	6	23	3	3.83333	5	0	0	0	0	5.02273	0.895105
64	86	M3	selected	95	90.0	1.0	0.9	0.01	46	49	47	10	15	22	18	0	18	6	23	3	3.83333	4	1	0	0	0	5.28421	0.970077
65	85	M3	selected	92	90.0	1.0	0.9	0.01	44	48	51	14	9	18	15	1	15	5	21	3	4.2	5	0	0	0	0	5.1087	0.866326
66	84	M3	selected	91	90.0	1.0	0.9	0.01	42	49	51	11	14	15	18	0	18	5	19	2	3.8	5	1	0	0	0	5.21978	0.914848
67	83	M3	selected	91	90.0	1.0	0.9	0.01	40	51	51	9	10	15	19	0	19	5	26	3	5.2	5	2	0	0	0	5.45055	0.95474
