cycle	bp	stage	scenario	genetic_mode	N	K_t	climate_K_factor	human_K_factor	q_hunting	N_female	N_male	N_juvenile	N_age0	N_age1	births_total	births_own_OMU	births_other_OMU	births_AMU	adult_females	adult_males	breeding_females	candidate_fathers	OMU_count	AMU_males	AMU_count_proxy	AMU_males_per_OMU	dominant_males	no_breeder_years	quasi_extinct	functional_extinct	demographic_extinct	mean_age	density_factor
50	100	pre_breeding	M4	selected	105	90.0	1.0	0.9	0.01	50	55	60	19	10	0	0	0	0	25	17	2	17	6	17	2	2.83333	6	0	0	0	0	5.10476	0.907727
50	100	post_mortality	M4	selected	87	90.0	1.0	0.9	0.01	46	41	52	15	10	0	0	0	0	23	11	2	11	6	10	1	1.66667	5	0	0	0	0	4.88506	0.907727
51	99	post_mortality	M4	selected	80	90.0	1.0	0.9	0.01	41	39	46	15	11	18	11	2	5	22	9	3	9	5	11	2	2.2	4	0	0	0	0	4.6	0.909539
52	98	post_mortality	M4	selected	93	90.0	1.0	0.9	0.01	47	46	54	15	15	16	8	2	6	25	8	0	8	5	15	2	3.0	4	1	0	0	0	4.6129	0.992747
53	97	post_mortality	M4	selected	87	90.0	1.0	0.9	0.01	45	42	52	9	14	11	9	2	0	19	9	1	9	5	15	2	3.0	4	0	0	0	0	4.78161	0.914569
54	96	post_mortality	M4	selected	86	90.0	1.0	0.9	0.01	46	40	51	10	7	15	9	3	3	18	10	1	10	4	18	2	4.5	3	0	0	0	0	4.83721	0.932496
55	95	post_mortality	M4	selected	93	90.0	1.0	0.9	0.01	49	44	56	14	10	14	8	3	3	18	13	0	13	5	20	2	4.0	4	1	0	0	0	4.74194	0.949737
56	94	post_mortality	M4	selected	98	90.0	1.0	0.9	0.01	50	48	50	9	14	12	10	1	1	23	14	0	14	5	25	3	5.0	5	2	0	0	0	5.2551	0.906228
57	93	post_mortality	M4	selected	81	90.0	1.0	0.9	0.01	45	36	41	16	7	21	10	2	9	22	10	2	10	5	16	2	3.2	2	0	0	0	0	4.92593	0.801406
58	92	post_mortality	M4	selected	89	90.0	1.0	0.9	0.01	47	42	48	13	15	13	10	0	3	24	13	1	13	5	15	2	3.0	4	0	0	0	0	4.86517	1.0
59	91	post_mortality	M4	selected	86	90.0	1.0	0.9	0.01	45	41	49	12	11	13	12	1	0	21	12	2	12	4	17	2	4.25	1	0	0	0	0	4.77907	0.934261
60	90	post_mortality	M4	selected	91	90.0	1.0	0.9	0.01	46	45	52	13	9	14	10	1	3	20	13	2	13	4	17	2	4.25	4	0	0	0	0	4.87912	0.946969
61	89	post_mortality	M4	selected	92	90.0	1.0	0.9	0.01	45	47	55	12	13	13	7	2	4	19	12	0	12	4	21	3	5.25	3	1	0	0	0	4.93478	0.915318
62	88	post_mortality	M4	selected	87	90.0	1.0	0.9	0.01	43	44	46	14	10	15	11	2	2	21	10	2	10	4	21	3	5.25	3	0	0	0	0	4.64368	0.8943
63	87	post_mortality	M4	selected	92	90.0	1.0	0.9	0.01	44	48	45	10	13	13	7	2	4	23	13	1	13	4	24	3	6.0	4	0	0	0	0	4.97826	0.951116
64	86	post_mortality	M4	selected	88	90.0	1.0	0.9	0.01	45	43	46	13	8	16	11	2	3	22	13	2	13	4	19	2	4.75	2	0	0	0	0	4.95455	0.881222
65	85	post_mortality	M4	selected	89	90.0	1.0	0.9	0.01	45	44	48	15	10	17	10	3	4	23	14	2	14	4	19	2	4.75	2	0	0	0	0	4.93258	0.906091
66	84	post_mortality	M4	selected	92	90.0	1.0	0.9	0.01	46	46	51	12	14	14	8	3	3	22	16	1	16	4	21	3	5.25	4	0	0	0	0	5.0	0.921931
67	83	post_mortality	M4	selected	85	90.0	1.0	0.9	0.01	47	38	45	12	11	15	12	3	0	19	14	0	14	4	19	2	4.75	3	1	0	0	0	4.98824	0.889154
68	82	post_mortality	M4	selected	91	90.0	1.0	0.9	0.01	51	40	50	9	12	11	6	2	3	21	13	0	13	4	21	3	5.25	3	2	0	0	0	5.13187	0.989954
69	81	post_mortality	M4	selected	96	90.0	1.0	0.9	0.01	54	42	51	12	8	16	8	4	4	23	18	1	18	4	23	3	5.75	3	0	0	0	0	5.46875	0.891049
70	80	post_mortality	M4	selected	91	90.0	1.0	0.9	0.01	52	39	48	17	11	19	10	4	5	26	13	1	13	5	15	2	3.0	5	0	0	0	0	5.30769	0.831589
71	79	post_mortality	M4	selected	91	90.0	1.0	0.9	0.01	50	41	46	12	14	17	9	2	6	27	13	3	13	5	15	2	3.0	4	0	0	0	0	5.38462	0.885989
72	78	post_mortality	M4	selected	83	90.0	1.0	0.9	0.01	46	37	45	14	11	20	16	3	1	25	10	1	10	6	11	2	1.83333	4	0	0	0	0	5.27711	0.860109
73	77	post_mortality	M4	selected	96	90.0	1.0	0.9	0.01	53	43	55	15	14	16	9	3	4	26	13	0	13	6	13	2	2.16667	6	1	0	0	0	5.27083	0.964
74	76	post_mortality	M4	selected	86	90.0	1.0	0.9	0.01	48	38	49	10	11	16	13	1	2	23	10	3	10	6	14	2	2.33333	4	0	0	0	0	5.38372	0.851452
75	75	post_mortality	M4	selected	88	90.0	1.0	0.9	0.01	46	42	52	13	8	15	8	3	4	19	10	1	10	6	15	2	2.5	5	0	0	0	0	5.52273	0.946195
76	74	post_mortality	M4	selected	86	90.0	1.0	0.9	0.01	47	39	49	7	10	9	5	2	2	18	12	3	12	6	17	2	2.83333	6	0	0	0	0	6.09302	0.984106
77	73	post_mortality	M4	selected	93	90.0	1.0	0.9	0.01	46	47	52	19	5	20	11	3	6	19	13	2	13	6	22	3	3.66667	6	0	0	0	0	4.97849	0.91211
78	72	post_mortality	M4	selected	85	90.0	1.0	0.9	0.01	41	44	44	9	16	10	9	0	1	19	14	2	14	6	19	2	3.16667	5	0	0	0	0	5.05882	0.926339
79	71	post_mortality	M4	selected	92	90.0	1.0	0.9	0.01	41	51	51	16	9	17	11	1	5	21	15	0	15	6	20	2	3.33333	5	1	0	0	0	4.75	0.935228
80	70	post_mortality	M4	selected	88	90.0	1.0	0.9	0.01	40	48	47	9	14	9	7	2	0	21	14	1	14	6	14	2	2.33333	6	0	0	0	0	5.13636	0.940242
81	69	post_mortality	M4	selected	87	90.0	1.0	0.9	0.01	40	47	50	11	7	15	9	3	3	19	15	2	15	6	17	2	2.83333	6	0	0	0	0	5.31034	0.923464
82	68	post_mortality	M4	selected	85	90.0	1.0	0.9	0.01	39	46	45	12	7	16	11	2	3	20	15	3	15	6	19	2	3.16667	5	0	0	0	0	5.31765	0.926455
83	67	post_mortality	M4	selected	93	90.0	1.0	0.9	0.01	42	51	49	12	12	12	7	1	4	22	14	0	14	6	26	3	4.33333	6	1	0	0	0	5.45161	0.983709
84	66	post_mortality	M4	selected	92	90.0	1.0	0.9	0.01	40	52	44	11	11	12	8	2	2	20	16	1	16	6	25	3	4.16667	5	0	0	0	0	5.42391	0.909025
85	65	post_mortality	M4	selected	94	90.0	1.0	0.9	0.01	41	53	50	14	10	16	8	2	6	18	16	1	16	6	23	3	3.83333	6	0	0	0	0	5.5	0.884668
