cycle	bp	scenario	genetic_mode	N	sample_n	mean_genetic_fitness	mean_2B	mean_het_del	mean_hom_del	mean_weak_het	mean_moderate_het	mean_strong_het	mean_vstrong_het	segregating_del_muts	fixed_del_muts
50	100	M4	selected	105	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
50	100	M4	selected	87	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
51	99	M4	selected	85	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
52	98	M4	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
53	97	M4	selected	89	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
54	96	M4	selected	86	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
55	95	M4	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
56	94	M4	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
57	93	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
58	92	M4	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
59	91	M4	selected	89	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
60	90	M4	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
61	89	M4	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
62	88	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
63	87	M4	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
64	86	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
65	85	M4	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
66	84	M4	selected	87	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
67	83	M4	selected	89	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
68	82	M4	selected	89	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
69	81	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
70	80	M4	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
71	79	M4	selected	89	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
72	78	M4	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
73	77	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
74	76	M4	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
75	75	M4	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
76	74	M4	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
77	73	M4	selected	85	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
78	72	M4	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
79	71	M4	selected	86	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
80	70	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
81	69	M4	selected	85	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
82	68	M4	selected	87	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
83	67	M4	selected	89	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
84	66	M4	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
85	65	M4	selected	94	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
86	64	M4	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
87	63	M4	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
88	62	M4	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
89	61	M4	selected	85	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
90	60	M4	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
91	59	M4	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
92	58	M4	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
93	57	M4	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
94	56	M4	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
95	55	M4	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
96	54	M4	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
97	53	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
98	52	M4	selected	86	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
99	51	M4	selected	94	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
100	50	M4	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
101	49	M4	selected	86	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
102	48	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
103	47	M4	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
104	46	M4	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
105	45	M4	selected	94	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
106	44	M4	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
107	43	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
108	42	M4	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
109	41	M4	selected	92	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
110	40	M4	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
111	39	M4	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
112	38	M4	selected	89	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
113	37	M4	selected	94	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
114	36	M4	selected	87	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
115	35	M4	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
116	34	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
117	33	M4	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
118	32	M4	selected	88	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
119	31	M4	selected	90	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
120	30	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
121	29	M4	selected	89	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
122	28	M4	selected	91	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
123	27	M4	selected	82	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
124	26	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
125	25	M4	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
126	24	M4	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
127	23	M4	selected	86	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
128	22	M4	selected	88	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
129	21	M4	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
130	20	M4	selected	86	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
131	19	M4	selected	91	20	0.999998	2.85082e-06	0.2	0.0	0.2	0.0	0.0	0.0	1	0
132	18	M4	selected	91	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
133	17	M4	selected	89	20	0.999999	1.42541e-06	0.1	0.0	0.1	0.0	0.0	0.0	1	0
134	16	M4	selected	89	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
135	15	M4	selected	86	20	0.999999	1.42541e-06	0.1	0.0	0.1	0.0	0.0	0.0	1	0
136	14	M4	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
137	13	M4	selected	92	20	0.999999	1.42541e-06	0.1	0.0	0.1	0.0	0.0	0.0	1	0
138	12	M4	selected	93	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
139	11	M4	selected	99	20	0.999999	1.42541e-06	0.1	0.0	0.1	0.0	0.0	0.0	1	0
140	10	M4	selected	86	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
141	9	M4	selected	93	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	1	0
142	8	M4	selected	91	20	0.999999	1.42541e-06	0.1	0.0	0.1	0.0	0.0	0.0	1	0
143	7	M4	selected	95	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	2	0
144	6	M4	selected	88	20	0.999999	2.13812e-06	0.15	0.0	0.15	0.0	0.0	0.0	2	0
145	5	M4	selected	90	20	0.999999	1.42541e-06	0.1	0.0	0.1	0.0	0.0	0.0	2	0
146	4	M4	selected	94	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	2	0
147	3	M4	selected	94	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0
148	2	M4	selected	93	20	1.0	7.12706e-07	0.05	0.0	0.05	0.0	0.0	0.0	2	0
149	1	M4	selected	94	20	0.999999	1.42541e-06	0.1	0.0	0.1	0.0	0.0	0.0	2	0
150	0	M4	selected	89	20	0.999999	1.42541e-06	0.1	0.0	0.1	0.0	0.0	0.0	2	0
