bp	annual_hunting_mortality
100	0.010000
99	0.010000
98	0.010000
97	0.010000
96	0.010000
95	0.010000
94	0.010000
93	0.010000
92	0.010000
91	0.010000
90	0.010000
89	0.010000
88	0.010000
87	0.010000
86	0.010000
85	0.010000
84	0.010000
83	0.010000
82	0.010000
81	0.010000
80	0.010000
79	0.010000
78	0.010000
77	0.010000
76	0.010000
75	0.010000
74	0.010000
73	0.010000
72	0.010000
71	0.010000
70	0.010000
69	0.010000
68	0.010000
67	0.010000
66	0.010000
65	0.010000
64	0.010000
63	0.010000
62	0.010000
61	0.010000
60	0.010000
59	0.010000
58	0.010000
57	0.010000
56	0.010000
55	0.010000
54	0.010000
53	0.010000
52	0.010000
51	0.010000
50	0.010000
49	0.010000
48	0.010000
47	0.010000
46	0.010000
45	0.010000
44	0.010000
43	0.010000
42	0.010000
41	0.010000
40	0.010000
39	0.010000
38	0.010000
37	0.010000
36	0.010000
35	0.010000
34	0.010000
33	0.010000
32	0.010000
31	0.010000
30	0.010000
29	0.010000
28	0.010000
27	0.010000
26	0.010000
25	0.010000
24	0.010000
23	0.010000
22	0.010000
21	0.010000
20	0.010000
19	0.010000
18	0.010000
17	0.010000
16	0.010000
15	0.010000
14	0.010000
13	0.010000
12	0.010000
11	0.010000
10	0.010000
9	0.010000
8	0.010000
7	0.010000
6	0.010000
5	0.010000
4	0.010000
3	0.010000
2	0.010000
1	0.010000
0	0.010000
