chrom_id | chrom_symbol | gene_count | gene_length_bp | chrom_length_bp | start0   | end0     | intragenic_recomb_rate | intergenic_recomb_rate | between_chromosome_recombination | note
1        | Chr1         | 953        | 1500           | 1429500         | 0        | 1429499  | 0                      | 1e-3                   | free                              | 压缩功能染色体
2        | Chr2         | 953        | 1500           | 1429500         | 1429500  | 2858999  | 0                      | 1e-3                   | free                              | 压缩功能染色体
3        | Chr3         | 953        | 1500           | 1429500         | 2859000  | 4288499  | 0                      | 1e-3                   | free                              | 压缩功能染色体
4        | Chr4         | 953        | 1500           | 1429500         | 4288500  | 5717999  | 0                      | 1e-3                   | free                              | 压缩功能染色体
5        | Chr5         | 953        | 1500           | 1429500         | 5718000  | 7147499  | 0                      | 1e-3                   | free                              | 压缩功能染色体
6        | Chr6         | 953        | 1500           | 1429500         | 7147500  | 8576999  | 0                      | 1e-3                   | free                              | 压缩功能染色体
7        | Chr7         | 953        | 1500           | 1429500         | 8577000  | 10006499 | 0                      | 1e-3                   | free                              | 压缩功能染色体
8        | Chr8         | 953        | 1500           | 1429500         | 10006500 | 11435999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
9        | Chr9         | 952        | 1500           | 1428000         | 11436000 | 12863999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
10       | Chr10        | 952        | 1500           | 1428000         | 12864000 | 14291999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
11       | Chr11        | 952        | 1500           | 1428000         | 14292000 | 15719999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
12       | Chr12        | 952        | 1500           | 1428000         | 15720000 | 17147999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
13       | Chr13        | 952        | 1500           | 1428000         | 17148000 | 18575999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
14       | Chr14        | 952        | 1500           | 1428000         | 18576000 | 20003999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
15       | Chr15        | 952        | 1500           | 1428000         | 20004000 | 21431999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
16       | Chr16        | 952        | 1500           | 1428000         | 21432000 | 22859999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
17       | Chr17        | 952        | 1500           | 1428000         | 22860000 | 24287999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
18       | Chr18        | 952        | 1500           | 1428000         | 24288000 | 25715999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
19       | Chr19        | 952        | 1500           | 1428000         | 25716000 | 27143999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
20       | Chr20        | 952        | 1500           | 1428000         | 27144000 | 28571999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
21       | Chr21        | 952        | 1500           | 1428000         | 28572000 | 29999999 | 0                      | 1e-3                   | free                              | 压缩功能染色体
